  
       XFOIL         Version 6.99
  
 Calculated polar for: drl_airfoil                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1047   0.05914   0.05033  -0.0043   0.1972   0.1953
   1.000   0.0251   0.05843   0.04962   0.0108   0.1959   0.1966
   2.000  -0.0585   0.05552   0.04659   0.0264   0.1948   0.1982
   3.000  -0.1468   0.05154   0.04238   0.0441   0.1936   0.1998
   4.000  -0.2737   0.04709   0.03761   0.0709   0.1926   0.2005
   5.000  -0.2446   0.04565   0.03602   0.0799   0.1909   0.2034
   6.000  -0.1767   0.04575   0.03609   0.0838   0.1887   0.2081
   7.000  -0.0930   0.04629   0.03658   0.0861   0.1863   0.2137
   8.000  -0.0011   0.04683   0.03709   0.0875   0.1841   0.2234
  11.000   0.0985   0.06318   0.05389   0.0891   0.0131   0.5288
  12.000   0.1709   0.06722   0.05795   0.0890   0.0130   0.5436
  13.000   0.2393   0.07173   0.06253   0.0887   0.0143   0.5549
  15.000   0.3657   0.08212   0.07318   0.0871   0.0234   0.5754
