  
       XFOIL         Version 6.99
  
 Calculated polar for: drl_airfoil                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0014   0.06055   0.05185  -0.0000   0.2064   0.2062
   1.000  -0.0860   0.05963   0.05087   0.0159   0.2048   0.2079
   2.000  -0.1869   0.05685   0.04792   0.0340   0.2032   0.2095
   4.000  -0.3629   0.04912   0.03969   0.0739   0.2002   0.2135
   5.000  -0.3092   0.04933   0.03985   0.0793   0.1971   0.2200
   6.000  -0.2383   0.04965   0.04013   0.0830   0.1943   0.2334
   9.000  -0.0214   0.05103   0.04280   0.0932   0.1852   0.5579
  11.000   0.0253   0.06564   0.05655   0.0960   0.0136   0.5795
  12.000   0.0961   0.06943   0.06034   0.0966   0.0130   0.5905
  13.000   0.1637   0.07362   0.06460   0.0969   0.0141   0.6007
  14.000   0.2301   0.07807   0.06923   0.0969   0.0202   0.6102
  15.000   0.2913   0.08314   0.07434   0.0967   0.0237   0.6208
