  
       XFOIL         Version 6.99
  
 Calculated polar for: drl_airfoil                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0662   0.05914   0.05031  -0.0032   0.2011   0.1973
   1.000  -0.0047   0.05846   0.04964   0.0114   0.1995   0.1988
   2.000  -0.0783   0.05626   0.04733   0.0265   0.1979   0.2006
   3.000  -0.1590   0.05298   0.04386   0.0438   0.1966   0.2018
   4.000  -0.2977   0.04838   0.03895   0.0712   0.1958   0.2024
   5.000  -0.2696   0.04711   0.03751   0.0801   0.1934   0.2061
   6.000  -0.1916   0.04681   0.03710   0.0839   0.1910   0.2110
   7.000  -0.1127   0.04741   0.03772   0.0865   0.1888   0.2177
   8.000  -0.0265   0.04821   0.03854   0.0883   0.1864   0.2306
   9.000   0.0184   0.04948   0.04098   0.0906   0.1796   0.5044
